GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02
8600000US51025,51025,ZCTA5 51025,822,61,54063,8547
8600000US51026,51026,ZCTA5 51026,303,64,48438,10220
8600000US51027,51027,ZCTA5 51027,524,81,54318,7872
8600000US51028,51028,ZCTA5 51028,895,79,51827,4673
8600000US51029,51029,ZCTA5 51029,104,32,65962,15140
8600000US51030,51030,ZCTA5 51030,677,77,67321,3929
8600000US51031,51031,ZCTA5 51031,4818,212,52596,2974
8600000US51033,51033,ZCTA5 51033,207,51,70203,28011
8600000US51034,51034,ZCTA5 51034,766,75,40700,5368
8600000US51035,51035,ZCTA5 51035,692,90,56417,5090
8600000US51036,51036,ZCTA5 51036,215,56,48403,9386
8600000US51037,51037,ZCTA5 51037,135,37,37159,5804
8600000US51038,51038,ZCTA5 51038,643,71,64241,11572
8600000US51039,51039,ZCTA5 51039,921,82,58438,12194
8600000US51040,51040,ZCTA5 51040,1698,125,40473,6227
8600000US51041,51041,ZCTA5 51041,2214,197,57583,5371
8600000US51044,51044,ZCTA5 51044,100,23,44167,17167
8600000US51046,51046,ZCTA5 51046,740,83,43986,4720
8600000US51047,51047,ZCTA5 51047,392,68,49583,11272
8600000US51048,51048,ZCTA5 51048,268,47,40278,6044
8600000US51049,51049,ZCTA5 51049,220,51,43906,6864
8600000US51050,51050,ZCTA5 51050,1104,83,59091,7876
8600000US51051,51051,ZCTA5 51051,47,17,46875,24033
8600000US51052,51052,ZCTA5 51052,345,58,63894,5429
8600000US51053,51053,ZCTA5 51053,485,49,45568,10703
8600000US51054,51054,ZCTA5 51054,1784,134,75737,11946
8600000US51055,51055,ZCTA5 51055,489,61,50083,10556
8600000US51056,51056,ZCTA5 51056,227,49,49188,17583
8600000US51058,51058,ZCTA5 51058,435,66,44063,4717
8600000US51060,51060,ZCTA5 51060,280,48,32500,13021
8600000US51061,51061,ZCTA5 51061,202,46,45500,23722
8600000US51062,51062,ZCTA5 51062,265,53,66641,14270
8600000US51063,51063,ZCTA5 51063,431,62,40208,5731
8600000US51101,51101,ZCTA5 51101,473,96,22530,8500
8600000US51103,51103,ZCTA5 51103,6282,214,38151,2058
8600000US51104,51104,ZCTA5 51104,8402,251,49448,4614
8600000US51105,51105,ZCTA5 51105,3592,235,27367,2854
8600000US51106,51106,ZCTA5 51106,10122,304,50459,1919
8600000US51108,51108,ZCTA5 51108,2123,154,58554,10964
8600000US51109,51109,ZCTA5 51109,1229,84,46406,18247
8600000US51111,51111,ZCTA5 51111,140,68,41473,13586
8600000US51201,51201,ZCTA5 51201,2725,137,47478,10676
8600000US51230,51230,ZCTA5 51230,213,63,50865,33436
8600000US51231,51231,ZCTA5 51231,72,31,54500,31223
8600000US51232,51232,ZCTA5 51232,386,50,57188,8971
8600000US51234,51234,ZCTA5 51234,444,65,55278,7062
8600000US51235,51235,ZCTA5 51235,374,54,48333,5138
8600000US51237,51237,ZCTA5 51237,680,56,48241,10645
8600000US51238,51238,ZCTA5 51238,486,67,55000,9917
8600000US51239,51239,ZCTA5 51239,1086,97,63194,4411
8600000US51240,51240,ZCTA5 51240,659,87,48264,13408
8600000US51241,51241,ZCTA5 51241,605,61,51736,5363
8600000US51242,51242,ZCTA5 51242,73,24,49844,8400
8600000US51243,51243,ZCTA5 51243,349,45,42361,12392
8600000US51244,51244,ZCTA5 51244,24,13,41250,43848
8600000US51245,51245,ZCTA5 51245,580,76,46731,10704
8600000US51246,51246,ZCTA5 51246,1427,97,51964,6380
8600000US51247,51247,ZCTA5 51247,1773,150,44591,7848
8600000US51248,51248,ZCTA5 51248,653,66,41058,5776
8600000US51249,51249,ZCTA5 51249,1405,112,46719,8019
8600000US51250,51250,ZCTA5 51250,2540,200,59042,7730
8600000US51301,51301,ZCTA5 51301,5565,233,44735,3055
8600000US51331,51331,ZCTA5 51331,546,96,52083,5927
8600000US51333,51333,ZCTA5 51333,224,32,47000,12251
8600000US51334,51334,ZCTA5 51334,3101,133,43291,2672
8600000US51338,51338,ZCTA5 51338,421,65,48542,10163
8600000US51341,51341,ZCTA5 51341,36,18,32500,31091
8600000US51342,51342,ZCTA5 51342,569,66,40865,4070
8600000US51343,51343,ZCTA5 51343,92,29,60000,19106
8600000US51345,51345,ZCTA5 51345,187,42,54327,10876
8600000US51346,51346,ZCTA5 51346,999,94,47137,4980
8600000US51347,51347,ZCTA5 51347,646,95,57188,8628
8600000US51350,51350,ZCTA5 51350,202,39,33750,12181
8600000US51351,51351,ZCTA5 51351,2138,118,47697,4418
8600000US51354,51354,ZCTA5 51354,453,52,40156,5454
8600000US51355,51355,ZCTA5 51355,417,91,53036,17308
8600000US51357,51357,ZCTA5 51357,324,62,32292,21144
8600000US51358,51358,ZCTA5 51358,540,59,49808,4842
8600000US51360,51360,ZCTA5 51360,4072,203,55088,3261
8600000US51363,51363,ZCTA5 51363,91,30,52639,17492
8600000US51364,51364,ZCTA5 51364,295,56,37188,7005
8600000US51365,51365,ZCTA5 51365,121,28,49205,17210
8600000US51366,51366,ZCTA5 51366,205,37,48750,8804
8600000US51401,51401,ZCTA5 51401,5083,184,49893,6823
8600000US51430,51430,ZCTA5 51430,245,37,54432,8682
8600000US51431,51431,ZCTA5 51431,156,32,47833,6710
8600000US51433,51433,ZCTA5 51433,263,41,48401,2496
8600000US51436,51436,ZCTA5 51436,406,75,59875,9585
8600000US51439,51439,ZCTA5 51439,432,56,44265,8014
8600000US51440,51440,ZCTA5 51440,147,39,46094,8661
8600000US51441,51441,ZCTA5 51441,142,25,25000,10083
8600000US51442,51442,ZCTA5 51442,3362,236,45381,2133
8600000US51443,51443,ZCTA5 51443,772,65,46974,6087
8600000US51444,51444,ZCTA5 51444,40,17,43929,39162
8600000US51445,51445,ZCTA5 51445,1330,65,42311,3345
8600000US51446,51446,ZCTA5 51446,266,38,48571,9505
8600000US51447,51447,ZCTA5 51447,88,19,40000,17184
8600000US51448,51448,ZCTA5 51448,250,46,41563,6353
8600000US51449,51449,ZCTA5 51449,873,78,37066,5434
8600000US51450,51450,ZCTA5 51450,839,63,40590,3479
8600000US51451,51451,ZCTA5 51451,44,16,45000,28734
8600000US51453,51453,ZCTA5 51453,297,53,46118,6361
8600000US51454,51454,ZCTA5 51454,551,71,52813,4779
